"source_id","page","table_title","row_label","column_label","original_text","parsed_value","unit","extraction_method","validation_method","qa_tier","secondary_check","parsing_warning","status","notes"
"EC_EXPOST_PAEF","56","Box 4.1 impact of ESA-95 to ESA-2010","bank pension funds transfer","ESA-95 treatment","Under ESA-95 classified as revenue-increasing operation with direct positive impact on deficit worth 3.5 percent of GDP","3.5","percent_GDP","pdftotext line extraction","cross-checked against CGE 2011 5993.2 and 3.5 percent GDP","high_impact","independent_cross_check_documented","none","extracted","Lines 3261-3263 in extracted text"
"EC_EXPOST_PAEF","56","Box 4.1 impact of ESA-95 to ESA-2010","bank pension funds transfer","ESA-2010 treatment","Under ESA-2010 classified as financial transaction with no impact on deficit","0","percent_GDP","pdftotext line extraction","cross-checked against EC Box 4.1 wording","high_impact","independent_cross_check_documented","none","extracted","Lines 3261-3263 in extracted text"
"EC_EXPOST_PAEF","48","Footnote 54 bank pension expenditure","bank pension funds transfer","2012 additional expenditure","Additional expenditure worth about EUR 0.5bn or 0.3 percent of GDP","500.0","EUR_million","pdftotext line extraction","cross-checked against Tribunal de Contas 2012 official account extraction","routine","not_required","none","replicated_approximation","Lines 3005-3006 in extracted text"
"TC_AEO_2013_SS_2012","19","SS revenue execution footnote","banking substitute-regime pensions","current-transfer financing","Transferencias correntes include EUR 516.0m for financing banking substitute-regime pension charges","516.0","EUR_million","pdftotext line extraction","cross-checked against expenditure footnote in same report","high_impact","independent_cross_check_documented","none","extracted","Line 1156 in extracted text"
"TC_AEO_2013_SS_2012","20","SS expenditure execution footnote","banking substitute-regime pensions","current-transfer expenditure","Transferencias correntes include EUR 516.0m for payment of banking substitute-regime pensions","516.0","EUR_million","pdftotext line extraction","cross-checked against revenue footnote in same report","high_impact","independent_cross_check_documented","none","extracted","Line 1286 in extracted text"
"TC_AEO_2013_SS_2012","39","System previdencial notes","banking substitute-regime pensions","financing split","Includes EUR 515.8m from OE and EUR 0.1359m from CGA to finance banking substitute-regime pensions","515.9359","EUR_million","pdftotext line extraction","cross-checked against rounded EUR 516.0m financing total","routine","not_required","none","extracted","Lines 2813-2816 in extracted text"
"TC_AEO_2013_SS_2012","58","System previdencial annex notes","banking substitute-regime administrative charges","administrative execution","Personnel and goods/services administrative allocations for the banking substitute regime had zero execution","0","EUR_million","pdftotext line extraction","cross-checked against both administrative footnotes","routine","not_required","none","extracted","Lines 4032-4036 in extracted text"
"BDP_ANNUAL_REPORT_2012","14","Summary table interest rates","10-year fixed-rate Treasury bond yields","December 2012","10-year fixed rate Treasury bond yields Dec. 2012 7.3 percent","0.073","rate","pdftotext line extraction","cross-checked against debt-financing sensitivity calculation","routine","not_required","none","extracted","Line 721 in extracted text"
"BDP_ANNUAL_REPORT_2012","75","Public debt interest narrative","implicit public-debt interest rate","2012","implicit interest rate on public debt declined from 4.0 percent in 2011 to 3.7 percent in 2012","0.037","rate","pdftotext line extraction","cross-checked against debt-financing sensitivity calculation","routine","not_required","none","extracted","Line 4403 in extracted text"
"BDP_ANNUAL_REPORT_2012","75","Public debt interest narrative","programme-loan equivalent annual interest rate","2012","programme-loan equivalent annual interest rate stood at 2.6 percent","0.026","rate","pdftotext line extraction","cross-checked against debt-financing sensitivity calculation","routine","not_required","none","extracted","Lines 4407-4410 in extracted text"
"EC_EXPOST_PAEF","66","Programme financing footnote","State deposits","bank pension funds transfer","Accumulation of deposits reflected unused programme loans allocated to banking recapitalisation the transfer of banks' pension funds and privatisation advances","","qualitative","pdftotext line extraction","cross-checked against debt-financing liquidity classification","routine","not_required","none","extracted","Lines 3907-3908 in extracted text"
"DR_DL88_2012","1798-1799","Decreto-Lei 88/2012 articles 1 and 2","BPN group case","covered entities and population","DL88 covers active workers admitted until 2 March 2009 and reformados pensionistas of named BPN group entities","","legal_scope","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Lines 183-191 and 243-252 in extracted text"
"DR_DL88_2012","1799-1800","Decreto-Lei 88/2012 articles 6 to 8","BPN group case","CGA and ISS CNP responsibilities","CGA is responsible for covered retirement and survivor pensions and communicates values to ISS CNP for payment","","legal_scope","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Lines 254-269 in extracted text"
"DR_DL88_2012","1800","Decreto-Lei 88/2012 article 9","BPN pension fund","asset transfer to CGA","Fund manager must deliver EUR 96768004 to CGA in cash or Portuguese public debt securities at market value","96.768004","EUR_million","pdftotext line extraction","cross-checked against BPN processed ledger","high_impact","independent_cross_check_documented","none","extracted","Lines 278-295 in extracted text"
"DR_DL88_2012","1800","Decreto-Lei 88/2012 article 9","BPN pension fund","SAMS retained asset amount","Fund manager must deliver EUR 7319430 to entities for SAMS contribution responsibilities not transferred to CGA","7.31943","EUR_million","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Lines 302-314 in extracted text"
"DR_DL88_2012","1800","Decreto-Lei 88/2012 article 10","BPN group case","cessation of obligations","With transfer of responsibilities to CGA obligations of BPN entities cease for transferred responsibilities while SAMS contributions remain retained","","legal_scope","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Lines 329-330 in extracted text"
"TC_AEO_2013_SS_2012","82","Quadro 30 CGA funds integrated in CGA","BPN reserve","initial and 2012 fund values","BPN row reports constitution value 96.8 and fund value 100.9 in 2012","96.8","EUR_million","pdftotext line extraction","cross-checked against DL88 legal amount","routine","not_required","none","extracted","Line 5755 in extracted text"
"TC_AEO_2013_SS_2012","84","Quadro 31 CGA pensioner counts","BPN pensioners","2012 count","BPN row reports 11 aposentados reformados in 2012","11","count","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Line 5918 in extracted text"
"TC_AEO_2013_SS_2012","84","Quadro 31 CGA survivor counts","BPN survivor pensioners","2012 count","Footnote reports BPN with 18 survivor-pension beneficiaries in 2012","18","count","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Line 5962 in extracted text"
"TC_AEO_2013_SS_2012","85","Quadro 32 CGA pensions paid by funds","BPN pensions paid","2012 amount","BPN row reports 179.27 thousand euros in pensions and social benefits paid in 2012","0.17927","EUR_million","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Line 5988 in extracted text"
"TC_AEO_2013_SS_2012","87","Quadro 34 CGA fund income","BPN income","2012 amount","BPN row reports 2386.43 thousand euros in fund income in 2012","2.38643","EUR_million","pdftotext line extraction","cross-checked against BPN processed ledger","routine","not_required","none","extracted","Line 6104 in extracted text"
"CGA_REPORT_2024","16","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2024 count","Subscritores 359795","359795","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 16 source page 15"
"CGA_REPORT_2024","16","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2024 count","Aposentados reformados 494354","494354","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 16 source page 15; excludes 168313 survival and other pensionists"
"CGA_REPORT_2024","40","Quadro 26 - Financiamento do sistema em 2024","Quotizações dos trabalhadores","2024 amount","Quotizações dos trabalhadores 1364792884.82","1364.79288482","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 40 source page 39"
"CGA_REPORT_2024","40","Quadro 26 - Financiamento do sistema em 2024","Contribuições do empregador","2024 amount","Contribuições do empregador 2904159429.95","2904.15942995","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 40 source page 39"
"CGA_REPORT_2024","40","Quadro 26 - Financiamento do sistema em 2024","Dotações do Orçamento do Estado","2024 amount","Dotações do Orçamento do Estado 7126116564.00","7126.116564","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 40 source page 39"
"CGA_REPORT_2024","40","Quadro 26 - Financiamento do sistema em 2024","Pensões","2024 amount","Pensões 12329256352.74","12329.25635274","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 40 source page 39"
"CGA_REPORT_2024","40","Quadro 26 - Financiamento do sistema em 2024","Outras prestações","2024 amount","Outras prestações 19208223.06","19.20822306","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total applications identity","routine","not_required","none","extracted","PDF page 40 source page 39"
"CGA_REPORT_2023","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2023 count","Subscritores 380060","380060","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17"
"CGA_REPORT_2023","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2023 count","Aposentados reformados 487576","487576","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17; excludes 166756 survival and other pensionists"
"CGA_REPORT_2023","41","Quadro 26 - Financiamento do sistema em 2023","Quotizações dos trabalhadores","2023 amount","Quotizações dos trabalhadores 1278526212.86","1278.52621286","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2023","41","Quadro 26 - Financiamento do sistema em 2023","Contribuições do empregador","2023 amount","Contribuições do empregador 2719388607.24","2719.38860724","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2023","41","Quadro 26 - Financiamento do sistema em 2023","Dotações do Orçamento do Estado","2023 amount","Dotações do Orçamento do Estado 6208084500.00","6208.0845","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2023","41","Quadro 26 - Financiamento do sistema em 2023","Pensões","2023 amount","Pensões 11242251519.20","11242.25151920","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2023","41","Quadro 26 - Financiamento do sistema em 2023","Outras prestações","2023 amount","Outras prestações 20287925.85","20.28792585","EUR_million","pdfplumber text extraction","cross-checked against Quadro 26 total applications identity","routine","not_required","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2022","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2022 count","Subscritores 386216","386216","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17"
"CGA_REPORT_2022","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2022 count","Aposentados reformados 482938","482938","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17; excludes 165419 survival and other pensionists"
"CGA_REPORT_2022","41","Quadro 25 - Financiamento do sistema em 2022","Quotizações dos trabalhadores","2022 amount","Quotizações dos trabalhadores 1246056871.17","1246.05687117","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2022","41","Quadro 25 - Financiamento do sistema em 2022","Contribuições do empregador","2022 amount","Contribuições do empregador 2646092735.00","2646.09273500","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2022","41","Quadro 25 - Financiamento do sistema em 2022","Dotações do Orçamento do Estado","2022 amount","Dotações do Orçamento do Estado 5827820000.00","5827.82","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2022","41","Quadro 25 - Financiamento do sistema em 2022","Pensões","2022 amount","Pensões 10752224978.88","10752.22497888","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2022","41","Quadro 25 - Financiamento do sistema em 2022","Outras prestações","2022 amount","Outras prestações 17087316.83","17.08731683","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","routine","not_required","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2021","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2021 count","Subscritores 402099","402099","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19"
"CGA_REPORT_2021","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2021 count","Aposentados reformados 481942","481942","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19; excludes 165541 survival and other pensionists"
"CGA_REPORT_2021","42","Quadro 25 - Financiamento do sistema em 2021","Quotizações dos trabalhadores","2021 amount","Quotizações dos trabalhadores 1286295487.44","1286.29548744","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2021","42","Quadro 25 - Financiamento do sistema em 2021","Contribuições do empregador","2021 amount","Contribuições do empregador 2718530392.75","2718.53039275","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2021","42","Quadro 25 - Financiamento do sistema em 2021","Dotações do Orçamento do Estado","2021 amount","Dotações do Orçamento do Estado 5488799101.00","5488.799101","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2021","42","Quadro 25 - Financiamento do sistema em 2021","Pensões","2021 amount","Pensões 10225782283.24","10225.78228324","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2021","42","Quadro 25 - Financiamento do sistema em 2021","Outras prestações","2021 amount","Outras prestações 19107879.35","19.10787935","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","routine","not_required","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2020","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2020 count","Subscritores 416874","416874","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19"
"CGA_REPORT_2020","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2020 count","Aposentados reformados 482429","482429","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19; excludes 166218 survival and other pensionists"
"CGA_REPORT_2020","42","Quadro 25 - Financiamento do sistema em 2020","Quotizações dos trabalhadores","2020 amount","Quotizações dos trabalhadores 1274627636.04","1274.62763604","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2020","42","Quadro 25 - Financiamento do sistema em 2020","Contribuições do empregador","2020 amount","Contribuições do empregador 2707579630.28","2707.57963028","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2020","42","Quadro 25 - Financiamento do sistema em 2020","Dotações do Orçamento do Estado","2020 amount","Dotações do Orçamento do Estado 5410083453.00","5410.083453","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2020","42","Quadro 25 - Financiamento do sistema em 2020","Pensões","2020 amount","Pensões 10131423618.27","10131.42361827","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2020","42","Quadro 25 - Financiamento do sistema em 2020","Outras prestações","2020 amount","Outras prestações 21491600.65","21.49160065","EUR_million","pdfplumber text extraction","cross-checked against Quadro 25 total applications identity","routine","not_required","none","extracted","PDF page 42 source page 41"
"CGA_REPORT_2019","21","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2019 count","Subscritores 431132","431132","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 21 source page 20"
"CGA_REPORT_2019","21","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2019 count","Aposentados reformados 481014","481014","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 21 source page 20; excludes 164514 survival and other pensionists"
"CGA_REPORT_2019","41","Quadro 23 - Financiamento do sistema em 2019","Quotas","2019 amount","Quotas 1247651313.29","1247.65131329","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2019","41","Quadro 23 - Financiamento do sistema em 2019","Contribuição de Entidades","2019 amount","Contribuição de Entidades 2632886015.38","2632.88601538","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2019","41","Quadro 23 - Financiamento do sistema em 2019","Dotações do Orçamento do Estado","2019 amount","Dotações do Orçamento do Estado 5262518512.00","5262.518512","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2019","41","Quadro 23 - Financiamento do sistema em 2019","Pensões","2019 amount","Pensões 9888313480.72","9888.31348072","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2019","41","Quadro 23 - Financiamento do sistema em 2019","Outras prestações","2019 amount","Outras prestações 19889611.62","19.88961162","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","routine","not_required","none","extracted","PDF page 41 source page 40"
"CGA_REPORT_2018","21","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2018 count","Subscritores 443528","443528","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 21 source page 20"
"CGA_REPORT_2018","21","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2018 count","Aposentados reformados 479132","479132","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 21 source page 20; excludes 163168 survival and other pensionists"
"CGA_REPORT_2018","39","Quadro 23 - Financiamento do sistema em 2018","Quotas","2018 amount","Quotas 1255688918.18","1255.68891818","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 39 source page 38"
"CGA_REPORT_2018","39","Quadro 23 - Financiamento do sistema em 2018","Contribuição de Entidades","2018 amount","Contribuição de Entidades 2648468211.70","2648.46821170","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 39 source page 38"
"CGA_REPORT_2018","39","Quadro 23 - Financiamento do sistema em 2018","Dotações do Orçamento do Estado","2018 amount","Dotações do Orçamento do Estado 5224692500.00","5224.6925","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 39 source page 38"
"CGA_REPORT_2018","39","Quadro 23 - Financiamento do sistema em 2018","Pensões","2018 amount","Pensões 9838348068.05","9838.34806805","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 39 source page 38"
"CGA_REPORT_2018","39","Quadro 23 - Financiamento do sistema em 2018","Outras prestações","2018 amount","Outras prestações 19143463.97","19.14346397","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","routine","not_required","none","extracted","PDF page 39 source page 38"
"CGA_REPORT_2017","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2017 count","Subscritores 453977","453977","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19"
"CGA_REPORT_2017","20","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2017 count","Aposentados reformados 481877","481877","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 20 source page 19; excludes 163836 survival and other pensionists"
"CGA_REPORT_2017","38","Quadro 23 - Financiamento do sistema em 2017","Quotas","2017 amount","Quotas 1254814176.05","1254.81417605","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 38 source page 37"
"CGA_REPORT_2017","38","Quadro 23 - Financiamento do sistema em 2017","Contribuição de Entidades","2017 amount","Contribuição de Entidades 2616836579.37","2616.83657937","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 38 source page 37"
"CGA_REPORT_2017","38","Quadro 23 - Financiamento do sistema em 2017","Dotações do Orçamento do Estado","2017 amount","Dotações do Orçamento do Estado 4993427300.00","4993.4273","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 38 source page 37"
"CGA_REPORT_2017","38","Quadro 23 - Financiamento do sistema em 2017","Pensões","2017 amount","Pensões 9669018674.76","9669.01867476","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 38 source page 37"
"CGA_REPORT_2017","38","Quadro 23 - Financiamento do sistema em 2017","Outras prestações","2017 amount","Outras prestações 17500283.94","17.50028394","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","routine","not_required","none","extracted","PDF page 38 source page 37"
"CGA_REPORT_2016","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Subscritores","2016 count","Subscritores 463861","463861","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17"
"CGA_REPORT_2016","18","Quadro 7 - Subscritores aposentados reformados e pensionistas","Aposentados e reformados","2016 count","Aposentados reformados 482614","482614","count","pdfplumber text extraction","cross-checked against Quadro 7 ratios and page narrative","high_impact","independent_cross_check_documented","none","extracted","PDF page 18 source page 17; excludes 160016 survival and other pensionists"
"CGA_REPORT_2016","35","Quadro 23 - Financiamento do sistema em 2016","Quotas","2016 amount","Quotas 1279877925.24","1279.87792524","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 35 source page 34"
"CGA_REPORT_2016","35","Quadro 23 - Financiamento do sistema em 2016","Contribuição de Entidades","2016 amount","Contribuição de Entidades 2665817179.50","2665.81717950","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 35 source page 34"
"CGA_REPORT_2016","35","Quadro 23 - Financiamento do sistema em 2016","Dotações do Orçamento do Estado","2016 amount","Dotações do Orçamento do Estado 4926016419.00","4926.016419","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total financing identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 35 source page 34"
"CGA_REPORT_2016","35","Quadro 23 - Financiamento do sistema em 2016","Pensões","2016 amount","Pensões 9652881028.61","9652.88102861","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","high_impact","independent_cross_check_documented","none","extracted","PDF page 35 source page 34"
"CGA_REPORT_2016","35","Quadro 23 - Financiamento do sistema em 2016","Outras prestações","2016 amount","Outras prestações 16847544.87","16.84754487","EUR_million","pdfplumber text extraction","cross-checked against Quadro 23 total applications identity","routine","not_required","none","extracted","PDF page 35 source page 34"
